iter	Passed	Remaining
399	2431	3647
400	2435	3638
401	2449	3644
402	2460	3645
403	2466	3638
404	2471	3630
405	2475	3622
406	2479	3611
407	2492	3616
408	2501	3614
409	2505	3605
410	2513	3601
411	2520	3597
412	2526	3590
413	2533	3585
414	2536	3575
415	2542	3568
416	2545	3558
417	2548	3548
418	2553	3541
419	2558	3532
420	2564	3420	421	2569	3421	422	2574	3422	2610	3560
423	2619	3558
424	2624	3550
425	2634	3549
426	2639	3541
427	2650	3541
428	2658	3538
429	2661	3528
430	2670	3525
431	2678	3522
432	2686	3518
433	2689	3507
434	2692	3497
435	2698	3490
436	2707	3488
437	2715	3483
438	2720	3476
439	2724	3467
440	2735	3467
441	2744	3464
442	2752	3460
443	2761	3458
444	2768	3453
445	2774	3446
446	2782	3442
447	2787	3434
448	2796	3432
449	2803	3426
450	2809	3420
451	2815	3412
452	2819	3404
453	2827	3400
454	2830	3390
455	2839	3387
456	2842	3376
457	2850	3373
458	2854	3364
459	2858	3355
460	2861	3345
461	2868	3340
462	2869	3328
463	2871	3316
464	2879	3312
465	2888	3309
466	2891	3300
467	2896	3292
468	2900	3284
469	2906	3277
470	2910	3268
471	2913	3259
472	2917	3250
473	2921	3242
474	2925	3233
475	2933	3229
476	2937	3220
477	2944	3215
478	2949	3208
479	2952	3479	480	2956	3480	481	2961	3481	482	2967	3482	483	2973	3483	484	2979	3484	3065	3254
485	3073	3250
486	3078	3242
487	3085	3237
488	3090	3229
489	3095	3221
490	3101	3215
491	3105	3206
492	493	3027	3493	494	3036	3097
495	3038	3495	496	3042	3496	497	3054	3078
498	3059	3071
499	3062	3062
500	3066	3500	501	3070	3501	502	3074	3502	503	3079	3030
504	3081	3504	3167	3104
505	3172	3097
506	3180	3092
507	3184	3083
508	3191	3078
509	3195	3069
510	3201	3063
511	3207	3056
512	3214	3051
513	3221	3046
514	3228	3040
515	3237	3036
516	3243	3030
517	3248	3022
518	3253	3014
519	3256	3006
520	3259	2996
521	3267	2991
522	3272	2985
523	3282	2982
524	3288	2975
525	3298	2972
526	3301	2963
527	3306	2956
528	3311	2948
529	3317	2941
530	3321	2933
531	3328	2927
532	3331	2919
533	3337	2912
534	3340	2903
535	3348	2899
536	3355	2893
537	3362	2887
538	3370	2882
539	3375	2875
540	3382	2869
541	3390	2865
542	3396	2858
543	3402	2851
544	3409	2846
545	3415	2839
546	3423	2835
547	3427	2826
548	3432	2819
549	3436	2812
550	3440	2803
551	3448	2798
552	3452	2790
553	3459	2785
554	3462	2776
555	3470	2771
556	3473	2762
557	3479	2756
558	3485	2749
559	3487	2740
560	3492	2732
561	3498	2726
562	3503	2719
563	3508	2712
564	3509	2701
565	3515	2695
566	3523	2690
567	3526	2682
568	3532	2675
569	3537	2668
570	3544	2662
571	3552	2658
572	3556	2650
573	3564	2645
574	3568	2637
575	3570	2628
576	3571	2618
577	3578	2612
578	3579	2602
579	3583	2594
580	3586	2586
581	3592	2580
582	3598	2573
583	3603	2567
584	3605	2557
585	3613	2552
586	3621	2548
587	3628	2542
588	3633	2535
589	3635	2526
590	3641	2520
591	3648	2514
592	3655	2508
593	3658	2500
594	3662	2493
595	3669	2487
596	3676	2481
597	3679	2473
598	3684	2466
599	3689	2459
600	3695	2453
601	3700	2446
602	3706	2440
603	3713	2434
604	3721	2429
605	3728	2423
606	3733	2417
607	3741	2412
608	3745	2405
609	3751	2398
610	3756	2391
611	3761	2384
612	3766	2378
613	3770	2370
614	3776	2364
615	3786	2360
616	3794	2355
617	3802	2350
618	3806	2342
619	3811	2335
620	3819	2330
621	3827	2325
622	3833	2319
623	3835	2311
624	3840	2304
625	3845	2297
626	3848	2289
627	3854	2283
628	3860	2276
629	3863	2269
630	3869	2263
631	3878	2258
632	3883	2251
633	3890	2245
634	3894	2238
635	3898	2231
636	3906	2226
637	3913	2220
638	3916	2212
639	3923	2206
640	3926	2198
641	3932	2192
642	3938	2186
643	3941	2178
644	3949	2173
645	3950	2165
646	3958	2159
647	3963	2152
648	3968	2146
649	3972	2138
650	3975	2131
651	3981	2124
652	3986	2118
653	3993	2112
654	3999	2106
655	4000	2098
656	4004	2090
657	4009	2083
658	4014	2077
659	4019	2070
660	4025	2064
661	4027	2056
662	4031	2049
663	4035	2042
664	4042	2036
665	4043	2027
666	4047	2020
667	4052	2014
668	4058	2007
669	4064	2001
670	4067	1994
671	4068	1985
672	4071	1978
673	4076	1971
674	4082	1965
675	4089	1960
676	4092	1952
677	4097	1945
678	4103	1939
679	4106	1932
680	4112	1926
681	4117	1920
682	4124	1914
683	4131	1908
684	4135	1901
685	4140	1895
686	4144	1888
687	4147689	40688	4151690	4043	1808
691	4051	1803
692	4056	1797
693	4061	1790
694	4072	1787
695	4077	1781
696	4082	1774
697	4089	1769
698	4091	1762
699	4100	1757
700	4103	1750
701	4110	1744
702	4118	1739
703	4124	1734
704	4128	1727
705	4133	1721
706	4140	1715
707	4148	1711
708	4156	1705
709	4161	1699
710	4168	1694
711	4172	1687
712	4177	1681
713	4180	1674
714	4187	1669
715	4194	1663
716	4199	1657
717	4206	1652
718	4211	1645
719	4220	1641
720	4227	1636
721	4235	1630
722	4240	1624
723	4246	1618
724	4249	1611
725	4250	1604
726	4253	1597
727	4259	1591
728	4263	1585
729	4271	1579
730	4280	1575
731	4284	1568
732	4288	1562
733	4292	1555
734	4299	1550
735	4307	1545
736	4313	1539
737	4316	1532
738	4321	1526
739	4328	1520
740	4336	1515
741	4345	1510
742	4349	1504
743	4355	1498
744	4358	1491
745	4361	1485
746	4369	1479
747	4372	1472
748	4377	1466
749	4380	1460
750	4386	1454
751	4392	1448
752	4396	1442
753	4402	1436
754	4410	1431
755	4414	1424
756	4418	1418
757	4425	1412
758	4431	1407
759	4437	1401
760	4442	1395
761	4446	1388
762	4452	1383
763	4456	1376
764	4463	1371
765	4467	1364
766	4472	1358
767	4480	1353
768	4484	1347
769	4488	1340
770	4493	1334
771	4500	1329
772	4505	1323
773	4514	1318
774	4519	1312
775	4522	1305
776	4527	1299
777	4533	1293
778	4541	1288
779	4552	1284
780	4555	1277
781	4556	1270
782	4562	1264
783	4565	1257
784	4568	1251
785	4576	1245
786	45785	4693787	45786	4698788	45787	4703789	45788	4710790	4603	1216
791	4608	1210
792	4613	1204
793	4619	1198
794	4627	1193
795	4632	1187
796	4638	1181
797	4644	1175
798	4649	1169
799	4656	1164
800	4659	1157
801	4663	1151
802	4668	1145
803	4674	1139
804	4677	1133
805	4680	1126
806	4686	1120
807	4692	1115
808	4696	1108
809	4703	1103
810	4708	1097
811	4713	1091
812	4720	1085
813	4725	1079
814	4729	1073
815	4735	1067
816	4738	1061
817	4741	1055
818	4747	1049
819	4753	1043
820	4759	1820	821	4762	1821	822	4768	1822	823	4772	1823	4806	1026
824	825	4783	1825	826	4785	1826	827	4790	9827828	479827	82829	4800	9882830	4807	97830	4840	984
83832	4816	9683833	4823	9683834	4828	9583835	4836	9483836	4842	9483837	4849	9383838	4857	9383839	4865	9283840	4872	9284841	4880	915
842	4883	9084843	4888	9084844	4892	8984845	4899	8984846	4904	8884847	4907	8784848	4914	874
849	4920	868
850	4924	862
851	4928	8585852	4932	8585853	4937	84853	4970	849
854	4977	844
855	4985	838
856	4991	832
857	4997	827
858	5006	821
859	5007	815
860	5010	808
861	5016	803
862	5019	796
863	5027	791
864	5032	785
865	5035	779
866	5040	773
867	5049	767
868	5054	761
869	5057	755
870	5061	749
871	5066	743
872	5072	737
873	5078	732
874	5083	726
875	5090	720
876	5095	714
877	5100	708
878	5104	702
879	5111	696
880	5118	691
881	5124	685
882	5129	679
883	5135	673
884	5144	668
885	5151	662
886	5155	656
887	5158	650
888	5164	644
889	5170	639
890	5174	633
891	5180	627
892	5184	621
893	5193	615
894	5200	610
895	5205	604
896	5211	598
897	5216	592
898	5222	586
899	5229	581
900	5234	575
901	5244	569
902	5256	564
903	5266	559
904	5273	553
905	5277	547
906	5279	541
907	5283	535
908	5289	529
909	5293	523
910	5298	517
911	5302	511
912	5306	505
913	5310	499
914	5316	493
915	5317	487
916	5321	481
917	5324	475
918	5328	469
919	5334	463
920	5342	458
921	5346	452
922	5352	446
923	5357	440
924	5367	435
925	5374	429
926	5379	423
927	5382	417
928	5384	411
929	5391	405
930	5397	399
931	5405	394
932	5412	388
933	5416	382
934	5421	376
935	5428	371
936	5436	365
937	5442	359
938	5451	354
939	5454	348
940	5458	342
941	5461	336
942	5464	330
943	5468	324
944	5471	318
945	5475	312
946	5478	306
947	5494	301
948	5498	295
949	5504	289
950	5507	283
951	5511	277
952	5514	271
953	5519	266
954	5524	260
955	5540	254
956	5542	249
957	5550	243
958	5560	237
959	5563	231
960	5565	225
961	5567	219
962	5570	214
963	5572	208
964	5575	202
965	5596	196
966	5597	191
967	5599	185
968	5600	179
969	5601	173
970	5602	167
971	5603	161
97973	5584	149
974	5590	143
975	5599	137
976	5600	131
977	5601	126
978	5602	120
979	5603	114
980	5604	108
981	5606	102
982	5608	96
983	5609	91
984	5610	85
985	5611	79
986	5612	73
987	5613	68
988	5614	62
989	5615	56
990	5616	51
991	5618	45
992	5619	39
993	5620	33
994	5621	28
995	5623	22
996	5624	16
997	5625	11
998	5626	5
999	5627	0
999	5632	0
12	23
996	5813	17
997	5814	11
998	5815	5
999	5816	0
8	5856	5
999	5860	0
